nodeID,H,T,seizoen,methode
CFBerg_IV_h,-5.512,100,geheel jaar,Gumbel fit
187,-3.731,10,geheel jaar,gewogen gemiddelde
187,-3.863,10,alleen zomer,gewogen gemiddelde
187,-3.802,10,alleen zomer,Gumbel fit
187,-3.705,10,geheel jaar,Gumbel fit
187,-3.622,25,geheel jaar,Gumbel fit
187,-3.559,50,geheel jaar,Gumbel fit
187,-3.496,100,geheel jaar,Gumbel fit
151,-5.639,10,geheel jaar,gewogen gemiddelde
151,-5.679,10,alleen zomer,gewogen gemiddelde
151,-5.691,10,alleen zomer,Gumbel fit
151,-5.613,10,geheel jaar,Gumbel fit
151,-5.559,25,geheel jaar,Gumbel fit
151,-5.519,50,geheel jaar,Gumbel fit
151,-5.479,100,geheel jaar,Gumbel fit
198,-5.639,10,geheel jaar,gewogen gemiddelde
198,-5.679,10,alleen zomer,gewogen gemiddelde
198,-5.691,10,alleen zomer,Gumbel fit
198,-5.613,10,geheel jaar,Gumbel fit
198,-5.56,25,geheel jaar,Gumbel fit
198,-5.519,50,geheel jaar,Gumbel fit
198,-5.479,100,geheel jaar,Gumbel fit
134,-3.137,10,geheel jaar,gewogen gemiddelde
134,-3.155,10,alleen zomer,gewogen gemiddelde
134,-3.153,10,alleen zomer,Gumbel fit
134,-3.128,10,geheel jaar,Gumbel fit
134,-3.107,25,geheel jaar,Gumbel fit
134,-3.091,50,geheel jaar,Gumbel fit
134,-3.076,100,geheel jaar,Gumbel fit
206,-5.689,10,geheel jaar,gewogen gemiddelde
206,-5.725,10,alleen zomer,gewogen gemiddelde
206,-5.738,10,alleen zomer,Gumbel fit
206,-5.658,10,geheel jaar,Gumbel fit
206,-5.601,25,geheel jaar,Gumbel fit
206,-5.558,50,geheel jaar,Gumbel fit
206,-5.515,100,geheel jaar,Gumbel fit
209,-5.678,10,geheel jaar,gewogen gemiddelde
209,-5.714,10,alleen zomer,gewogen gemiddelde
209,-5.727,10,alleen zomer,Gumbel fit
209,-5.648,10,geheel jaar,Gumbel fit
209,-5.593,25,geheel jaar,Gumbel fit
209,-5.551,50,geheel jaar,Gumbel fit
209,-5.508,100,geheel jaar,Gumbel fit
215,-5.684,10,geheel jaar,gewogen gemiddelde
